content,score,at,sentiment,processed_content
pesanan sameday lama dan lambat pick up nya,1,2025-03-25 17:54:31,negative,pesanan sameday lambat pick up nya
"apk nya ge bener banget, sy komplain barang, mau dibalikkan ke penjualnya, ongkos kirimnya yg tanggung pembeli, padahal sudah pakai jaminan asuransi yg di sediakan tokopedia. minta arahan dan bantuan dari cs nya, ditanya apa jawaban cs nya apa, cs nya ga nyambung, ga ngasih solusi, klo bisa ga usah pke bintang, nge rugiin org aja",1,2025-03-25 17:51:38,negative,apk nya ge bener banget sy komplain barang dibalikkan penjualnya ongko kirimnya yg tanggung pemb pakai jaminan asuransi yg sediakan tokopedia arahan bantuan cs nya cs nya cs nya ga nyambung ga ngasih solusi klo ga pke bintang nge rugiin org aja
terimakasih sdh hadir u pilihan masyarakat kita,5,2025-03-25 17:44:01,positive,terimakasih sdh hadir u pilihan masyarakat
"TOLONG TOKOPEDIA BATALKAN INTERGRASI TOKOPEDIA DENGAN TIKTOK SHOP , AMPUN ATURAN SLA TIKTOK , NYESAL..NYESAL .. MANA GAK BISA DIBATALKAN LAGI INTERGRASI NYA , TOLONG PIHAK DEVELOVER BERI PILIHAN KEMBALI KE TOKOPEDIA LAGI , BATALKAN INTERGRASI ITU",1,2025-03-25 17:42:10,negative,tolong tokopedia batalkan intergrasi tokopedia tiktok shop ampun aturan sla tiktok nyesalnyes gak dibatalkan intergrasi nya tolong develov pilihan tokopedia batalkan intergrasi
"emang banyak banget minusnya ini aplikasi, pelayanan CS apalagi. banyak banyak Ngelus dada aja yaa sama produk lokal mah",1,2025-03-25 16:59:16,negative,emang banget minusnya aplikasi pelayanan cs ngelu dada aja yaa produk lokal mah
APLIKASI SAMPAH,1,2025-03-25 16:26:31,negative,aplikasi sampah
"pengalaman buruk pada saat menggunkan instan pengirimian nya, tim cs sudah saya hubungi dari ig sampai email tetap tidak ada respon",1,2025-03-25 16:19:44,negative,pengalaman buruk menggunkan instan pengirimian nya tim cs hubungi ig email respon
UNTUK APLIKASI NYA BAGUS JADI AKU KASIH BINTANG 5,1,2025-03-25 16:09:29,negative,aplikasi nya bagu kasih bintang
saya sangat suka aplikasi ini,5,2025-03-25 16:03:42,positive,suka aplikasi
ok good,5,2025-03-25 15:27:41,positive,ok good
"Terima kasih Tokopedia untuk gift Ramadan ekstra seru nya,.Belanja online jangan lupa Tokopedia.,",5,2025-03-25 15:17:10,positive,terima kasih tokopedia gift ramadan ekstra seru nyabelanja onlin lupa tokopedia
"Dari awal bulan puasa, sampe sekarang² komentar ini dibuat tanggal 25/03/2025, belum ada THR dari Tokopedia! Semenjak Tiktok kolaborasi sama Tokopedia yg cuma numpang nebeng doang, Tokopedia jadi tutup mata!! Saya mengagumi Shopee & Tokopedia, berlomba² yg terbaik, TAPI kini saya cuma mengagumi Shopee saja!! Saya pengguna lama Tokopedia, tau persis watak Tokopedia kayak gimana, semenjak kolaborasi sama tiktok, Tokopedia bukan lagi prioritas! Cuma Shopee tanpa kolaborasi, berdiri tegak rame terus",1,2025-03-25 15:04:48,negative,puasa samp sekarang² komentar tanggal thr tokopedia semenjak tiktok kolaborasi tokopedia yg numpang nebeng doang tokopedia tutup mata mengagumi shope tokopedia berlomba² yg terbaik mengagumi shope pengguna tokopedia tau persi watak tokopedia kayak gimana semenjak kolaborasi tiktok tokopedia priorita shope kolaborasi berdiri tegak rame
perusahaan kagk ngotak.kerja dah 3 tahun lebih kagak dapet THR. jalan terakhir komen disini lah semoga para atasan toko pedia lihat. soalnya spv & vendor pada lepas tangan,1,2025-03-25 15:02:41,negative,perusahaan kagk ngotakkerja dah kagak dapet thr jalan komen semoga atasan toko pedia lihat spv vendor lepa tangan
Tokped kusuka barangnya komplit sekali klik langsung muncul Banyak promonya juga lima bintang pokonya 👍,5,2025-03-25 14:58:19,positive,tokp kusuka barangnya komplit klik langsung muncul promonya bintang pokonya 👍
hebat kirir baik,5,2025-03-25 14:36:27,positive,hebat kirir
mantap pokoknya gampang transaksinya,5,2025-03-25 14:36:20,positive,mantap pokoknya gampang transaksinya
"cacat, sistem otomatis batal terus, mana rugi ga dibalikin biaya aplikasi nya",1,2025-03-25 14:14:29,negative,cacat sistem otomati batal rugi ga dibalikin biaya aplikasi nya
"lumayan, barang lengkap,,klo sesuai bintang d tmbah",4,2025-03-25 14:08:58,positive,lumayan barang lengkapklo sesuai bintang d tmbah
keren,5,2025-03-25 13:52:59,positive,keren
Sangat membantu dan memudahkan,5,2025-03-25 13:42:15,positive,membantu memudahkan
"mantapp dan mendukung pembeliann,, apalagii adaa untuk bayar, dengan apk E-WALLET",5,2025-03-25 13:25:08,positive,mantapp mendukung pembeliann apalagii adaa bayar apk ewallet
membantu dalam sgala hal trmkasih,5,2025-03-25 13:09:52,positive,membantu sgala trmkasih
"tokopedia care, kerja nya lambat, lama bales nya. masa mau 24 jam belum juga di bales bales live chat nya.",1,2025-03-25 12:55:38,negative,tokopedia care kerja nya lambat bale nya jam bale bale live chat nya
Baik dan bagus,5,2025-03-25 12:47:39,positive,bagu
bagus banget dan bagus,5,2025-03-25 12:46:09,positive,bagu banget bagu
"kurir tokopedia sampah, pesenan saya di biarkan di gudang berhari-hari ....",1,2025-03-25 12:12:59,negative,kurir tokopedia sampah pesenan biarkan gudang berharihari
"Aplikasi tokopedia sangat membantu dalam berbelanja, order apapun selalu ada, sudah puas saya belanja disini, tapi saran saya kurir rekomendasi kurir siCepat selalu telat tibanya, mohon tokopedia agar kurir siCepat tidak termasuk kurir rekomendasi. Terimakasih",5,2025-03-25 12:12:28,positive,aplikasi tokopedia membantu berbelanja order apapun pua belanja saran kurir rekomendasi kurir sicepat telat tibanya mohon tokopedia kurir sicepat kurir rekomendasi terimakasih
bagus,5,2025-03-25 11:41:24,positive,bagu
costumer service slow respon bahkan gk respon klo dihubungi,1,2025-03-25 11:36:02,negative,costum servic slow respon gk respon klo dihubungi
coba dulu,5,2025-03-25 11:26:37,positive,coba
sangat bagus banyak toko barang second original yg terpercaya cmn masih banyak juga toko yang jual barang palsu,5,2025-03-25 11:19:53,positive,bagu toko barang second origin yg terpercaya cmn toko jual barang palsu
terlalu banyak oknum penipuan saya sudah berkali-kali ditipu beli di apk olshop ini,1,2025-03-25 11:14:41,negative,oknum penipuan berkalikali ditipu beli apk olshop
ribet pantas saja kalah saingan sama toko oren menguhungi agen saja loading nya kek nunggu pejabat datang tutup saja aplikasi ini,1,2025-03-25 10:48:29,negative,ribet kalah saingan toko oren menguhungi agen load nya kek nunggu pejabat tutup aplikasi
"AMPAS EROR, CACAD",1,2025-03-25 10:41:38,negative,ampa eror cacad
"E- COMERCE BURUK , tidak berpihak pembeli yang dirugikan atas penjual nakal.",1,2025-03-25 10:30:24,negative,e comerc buruk berpihak pemb dirugikan penjual nakal
"pembayaran menggunakan QRIS saldo terpotong invoice tidak ada. CS dichat engga dibales bales, kirim email engga ada kabar, padahal udah lebih 12 jam",1,2025-03-25 10:27:06,negative,pembayaran qri saldo terpotong invoic cs dichat engga dibal bale kirim email engga kabar udah jam
menyenangkan,5,2025-03-25 10:24:22,positive,menyenangkan
kalo tarik uang di Tokopedia sulit,1,2025-03-25 10:13:31,negative,kalo tarik uang tokopedia sulit
"refund bayar pdam tidak masuk gopay, padahal ada keterangan 1x24 jam kembali",1,2025-03-25 10:11:06,negative,refund bayar pdam masuk gopay keterangan x jam
"sering rugi belanja di tokopedia, karna saat retur barang yang ga sesuai pesanan harus bayar jasa kurir lagi, minta solusi ke Tokopedia care sama sekali ga membatu, admin sangat lambat menangani masalah sampai berminggu-minggu. pertanyaan admin sangat bertele-tele padahal sudah ada photo dan video unboxing dan sangat terlihat jelas barang yang dikirim ga sesuai dengan judul dan deskripsi. Banyak seller-seller penipu tapi dibiarkan tetap aktif di tokopedia. Kapok belanja di tokped.",1,2025-03-25 09:35:52,negative,rugi belanja tokopedia karna retur barang ga sesuai pesanan bayar jasa kurir solusi tokopedia care ga membatu admin lambat menangani bermingguminggu admin berteletel photo video unbox barang dikirim ga sesuai judul deskripsi sellersel penipu dibiarkan aktif tokopedia kapok belanja tokp
sangat membantu,5,2025-03-25 09:35:41,positive,membantu
belanja online yang mantap,4,2025-03-25 09:33:10,positive,belanja onlin mantap
"Min tampilannya tolong jangan kaya Oren dong. Udah di kasih filter pencarian, yang muncul barang tidak sesuai kriteria. Jadi makan waktu buat scroll. Pakai Tokped tu karna mudah nyari barang yang dimaksud, sekarang jadi ribet, mirip toko Oren.",1,2025-03-25 09:09:30,negative,min tampilannya tolong kaya oren udah kasih filter pencarian muncul barang sesuai kriteria makan scroll pakai tokp tu karna mudah nyari barang ribet toko oren
paket Nya lama sampai,1,2025-03-25 08:53:14,negative,paket nya
Bisa bayar pajak motor,5,2025-03-25 08:52:10,positive,bayar pajak motor
"mau verifikasi ngga bisa, pdhl otp benar hmmm",2,2025-03-25 08:51:35,negative,verifikasi ngga pdhl otp hmmm
bagus layanannya,5,2025-03-25 08:13:57,positive,bagu layanannya
"Ini gimana sih orang mau beli sudah cek out mau bayar pake m-banking biasanya lancar skrg udah bolak balik dari kemarin gak bisa, lewat dana gak bisa, pake QRIS gak bisa, parah bener, mau hubungi CS pengen tau penyebabnya apa dan solusinya bagaimana, eh sama susahnya tiap ke mau hubungi CS yg jawab robot trus yg gak nyambung jawaban nya, parah bener Ini Tokopedia",1,2025-03-25 07:56:22,negative,gimana sih orang beli cek out bayar pake mbank lancar skrg udah bolak kemarin gak dana gak pake qri gak parah bener hubungi cs pengen tau penyebabnya solusinya eh susahnya hubungi cs yg robot tru yg gak nyambung nya parah bener tokopedia
thank you,5,2025-03-25 07:36:48,positive,thank you
"klau ada chat sama orderan GK notif ,GK jelas",1,2025-03-25 07:16:16,negative,klau chat orderan gk notif gk
mantap,5,2025-03-25 06:03:42,positive,mantap
recomended,5,2025-03-25 05:58:13,positive,recomend
oke,4,2025-03-25 05:46:42,positive,oke
keren pokonya,5,2025-03-25 05:36:35,positive,keren pokonya
"""focus on consumer"" bohongg... semakin g jelas tokopedia care ternyata juga tidak care",1,2025-03-25 05:35:35,negative,focu on consum bohongg g tokopedia care care
Alhamdulillah pesanan dari tgl 12 Maret 2025 sampe sekarang belum sampai2... dengan alasan alamat tidak jelas. padahal transaksi sudah lebih dari ratusan Kali tidak pernah nyasar ataupun lama.,1,2025-03-25 05:08:12,negative,alhamdulillah pesanan tgl maret samp alasan alamat transaksi ratusan kali nyasar
apk terburuk sepanjang masa,1,2025-03-25 04:59:42,negative,apk terburuk
"saya pesan 3 barang yang datang cuma 1, ketika ajukan pengembalian gagal terus,",1,2025-03-25 04:37:03,negative,pesan barang ajukan pengembalian gagal
tetap setia di Tokopedia karena toko tokonya komplit dgn ragam potongan harga hanya saja sistim pembayaran dulu tak ada COD sekarang SDH tersedia dan bnyak alternatif,5,2025-03-25 04:35:11,positive,setia tokopedia toko tokonya komplit dgn ragam potongan harga sistim pembayaran cod sdh tersedia bnyak alternatif
"iseng download krna di apk lain lgi gada gratis ongkir eh malah keterusan ,keren bgt tokped diskon nya no kaleng kaleng gila aku selalu dapet harga barang di bawah 10k aku kira cuma sekali gitu krna pengguna baru ternyata terus terusan kerennn😭🎀💗",5,2025-03-25 04:25:37,positive,iseng download krna apk lgi gada grati ongkir eh keterusan keren bgt tokp diskon nya no kaleng kaleng gila dapet harga barang k gitu krna pengguna terusan kerennn😭🎀💗
sudah seminggu paket belum sampai,1,2025-03-25 04:16:44,negative,seminggu paket
penuh diskon,5,2025-03-25 04:13:20,positive,penuh diskon
APLIKASI SAMPAH. PENJUAL PENIPU MALAH DIBELA,1,2025-03-25 04:12:24,negative,aplikasi sampah penjual penipu dibela
cukup baik bermanfaat,5,2025-03-25 03:45:58,positive,bermanfaat
pengguna pertama,5,2025-03-25 02:27:51,positive,pengguna
"SELALU UPGRADE TIDAK ADA MANFAAT, MEMBLOKIR PELAPAK YG TIDAK JELAS BERJUALAN TIDAK BISA LAGE..!! PESAN CHAT JUGA TIDAK BISA DIHAPUS .. SEHINGGA BERTUMPUK PESAN CHAT DI APLIKASI SAMPAI LEMOT HP..!! JASA PENGANTAR PAKET TERBUSUK SERING MENUNDA NUNDA DAN PALING LAMA MENGANTAR PAKET RECOMENDASI TOKOPEDIA YAITU JASA LION PARCEL & ID EXPRESS..!! RECOMENDASI BUSUK..!! NOTIFIKASI DALAM APLIKASI TETAP MUNCUL WLO TELAH DIBACA..! INI APLIKASI SAKET..!! AYOO QITA PINDAH KE APLIKASI SEBELAH..!",1,2025-03-25 02:24:21,negative,upgrad manfaat memblokir pelapak yg berjualan lage pesan chat dihapu bertumpuk pesan chat aplikasi lemot hp jasa pengantar paket terbusuk menunda nunda mengantar paket recomendasi tokopedia jasa lion parcel id express recomendasi busuk notifikasi aplikasi muncul wlo dibaca aplikasi saket ayoo qita pindah aplikasi sebelah
mudah. aman,5,2025-03-25 02:10:48,positive,mudah aman
pengguna Baru ga masa dapet voucher satupun 😑,1,2025-03-25 02:10:01,negative,pengguna ga dapet voucher satupun 😑
pengembalian dana dan barang di tokopedia tidak sesuai kesepakatan.... barang di kembalikan malah dananya di potong setengah rugi dong,1,2025-03-25 00:50:33,negative,pengembalian dana barang tokopedia sesuai kesepakatan barang kembalikan dananya potong rugi
tokopedia saya sangat kecewa dan telah dirugikan. saya membeli sebuah mesin cuci tgl 24 feb 2025. tgl 28 feb 2025 saya dikirim amplop berisi invoice kosong oleh si penjual aster elektronik dan barang yg sya pesan pun tidak ada sampai sekarang. saya mengadu ke tokopedia care hasilnya nol tidak ada solusi tidak ada tanggung jawabnya. saya mengajukan pengembalian Dana. sampai sekarang belum di kembalikan. tolong tokopedia dan penjual aster elektronik tanggung jawab kembalikan Dananya.,1,2025-03-25 00:39:50,negative,tokopedia kecewa dirugikan memb mesin cuci tgl feb tgl feb dikirim amplop berisi invoic kosong si penjual aster elektronik barang yg sya pesan mengadu tokopedia care hasilnya nol solusi tanggung mengajukan pengembalian dana kembalikan tolong tokopedia penjual aster elektronik tanggung kembalikan dananya
aplikasih toped di hp vivo saya sering error keluar tulisan yang di blok merah terus muncul,2,2025-03-25 00:34:35,negative,aplikasih tope hp vivo error tulisan blok merah muncul
Terimakasih TokPed si hijau🤑,5,2025-03-25 00:26:06,positive,terimakasih tokp si hijau🤑
aplikasi belanja online tebaekk🤟🤟🤟🤟,5,2025-03-25 00:14:58,positive,aplikasi belanja onlin tebaekk🤟🤟🤟🤟
sampai saat ini masih oke buat saya sebagai buyer,5,2025-03-25 00:08:20,positive,oke buyer
good,5,2025-03-25 00:03:27,positive,good
Best Tokopedia! barang ori,5,2025-03-25 00:02:56,positive,best tokopedia barang ori
cepat dan mantap..,5,2025-03-24 23:58:34,positive,cepat mantap
Lumayan,4,2025-03-24 23:56:01,positive,lumayan
"Tokopedia sekarang jelek dari segi kurirnya dan pelayanan cs Tokped nya, tidak seperti dulu, bagus. Tambah kesini tambah jelek. Sekarang aja customer tidak bisa memilih kurir yg diinginkan misal nya memilih kurir Sicepat, Anteraja dll nya, tidak seperti tetangga sebelah warna orange kita bebas memilih kurir yg kita mau. Dah gitu tidak ada penilaian untuk kurir di Tokped, kalo yg orange mah selalu ada penilaian untuk kurir. Kurir Idexpress itu parah banget, maen lempar aja paket ke teras rumah.",1,2025-03-24 23:54:53,negative,tokopedia jelek segi kurirnya pelayanan cs tokp nya bagu kesini jelek aja custom memilih kurir yg nya memilih kurir sicepat anteraja dll nya tetangga sebelah warna orang beba memilih kurir yg dah gitu penilaian kurir tokp kalo yg orang mah penilaian kurir kurir idexpress parah banget maen lempar aja paket tera rumah
Sangat Jelek dan Mengecewakan.,1,2025-03-24 23:49:10,negative,jelek mengecewakan
paket masih tertahan di Sortir Center Jakarta sudah 7 hari loh tertahan. benar benar kacau ini Tokopedia dan Kurir J&T Express,1,2025-03-24 23:42:21,negative,paket tertahan sortir center jakarta loh tertahan kacau tokopedia kurir jt express
saya niat mau belanja kenapa di refun langsung. uang masuk ke saldo tokopedia. ribet,2,2025-03-24 23:35:26,negative,niat belanja refun langsung uang masuk saldo tokopedia ribet
sangat puas,5,2025-03-24 23:19:33,positive,pua
"SELLER TOKOPEDIA GAK ADA YG BENER SKRG, CHAT GAK DI BALAS PELANGGAN RUGI ONGKIR SAMEDAY DAN CUSTOMER SERVICE PUN GAK BISA APA2",1,2025-03-24 23:03:03,negative,seller tokopedia gak yg bener skrg chat gak bala pelanggan rugi ongkir sameday custom servic gak
"baru pertama kali beli barang di Tokopedia dan malah berakhir KAPOK ! Pengiriman super lama + ongkir mahal. Gak lagi deh belanja di Tokopedia, mending di aplikasi orange aja.",1,2025-03-24 23:01:34,negative,kali beli barang tokopedia kapok pengiriman super ongkir mahal gak deh belanja tokopedia mend aplikasi orang aja
cukup membantu,5,2025-03-24 22:37:03,positive,membantu
pelayanan yang okay thanks you.,5,2025-03-24 22:26:18,positive,pelayanan okay thank you
𝒐𝒌,5,2025-03-24 22:17:06,positive,𝒐𝒌
sangat membantu,5,2025-03-24 22:06:50,positive,membantu
"saran aja mending pengiriman barang jangan pindah-pindah kurir, alhasil pengiriman jadi lebih lama karena barang tertahan di gudang",1,2025-03-24 22:00:54,negative,saran aja mend pengiriman barang pindahpindah kurir alhasil pengiriman barang tertahan gudang
Maantap,5,2025-03-24 21:51:20,positive,maantap
jangan tanya lagi sudah bagus 😎 tahu,5,2025-03-24 21:49:45,positive,bagu 😎
"kenapa ya harga produk di toko ijo sama di toko oren berbeda lebih murah di toko oren, Oke sih ongkirnya sudah mulai free ongkir toko ijo ikut-ikut sama toko oren tingkatkan lagi dong harga produknya yang belum bisa mengimbangi toko orange,,",1,2025-03-24 21:47:23,negative,ya harga produk toko ijo toko oren berbeda murah toko oren oke sih ongkirnya free ongkir toko ijo ikutikut toko oren tingkatkan harga produknya mengimbangi toko orang
simple order,5,2025-03-24 21:46:33,positive,simpl order
toko pedia emang oke bisa membuat belanja online nyaman dan amanah,5,2025-03-24 21:35:13,positive,toko pedia emang oke belanja onlin nyaman amanah
semoga sampai tepat dan barang bagus dan sesuai harapan,5,2025-03-24 21:18:09,positive,semoga barang bagu sesuai harapan
"Kenapa saya gak bisa cekout,",2,2025-03-24 21:02:18,negative,gak cekout
udh sangat baik-baik salam dari cp alya,5,2025-03-24 20:37:49,positive,udh baikbaik salam cp alya
"Tokopedia memang parah sih untuk pembeli karena banyak banget seller penipu, baru beli meja dari bekasi. malah di kirim dari bogor dia cuma ngirim resi",1,2025-03-24 20:24:59,negative,tokopedia parah sih pemb banget seller penipu beli meja bekasi kirim bogor ngirim resi
"gw udah brapa kali belanja brg di tokped dan ujung ny brg retur ke saler, padahal sya perlu banget barang itu ujung ny estimasi dtg 1 minggu malah sebulan, saya sdh komlain tolong kembalikan aja uang nya biar sya bisa belanja lagi di saler lain tetap aja ga bisa, kecewa banget sih sma tokped masa hal ini ga bisa di perbaiki, klo ada kendala terkait standar saler dgn expedisi ujung nya jangan buyer yang di korbankan harus menunggu penyelesaian nya dan brg pun lambat sya dapatkan. !!!!!!!!!!!!!!!!",1,2025-03-24 20:06:45,negative,gw udah brapa kali belanja brg tokp ujung ny brg retur saler sya banget barang ujung ny estimasi dtg minggu sebulan sdh komlain tolong kembalikan aja uang nya biar sya belanja saler aja ga kecewa banget sih sma tokp ga perbaiki klo kendala terkait standar saler dgn expedisi ujung nya buyer korbankan menunggu penyelesaian nya brg lambat sya dapatkan
aku dana saya transaksi sendiri ke Tokopedia mohon bantuan,5,2025-03-24 19:58:06,positive,dana transaksi tokopedia mohon bantuan
"mantaaaap,transaksi jd muda bgt..Sekalian lagi mantaaap/goooodd👍👍👍",5,2025-03-24 19:52:23,positive,mantaaaaptransaksi jd muda bgtsekalian mantaaapgoooodd👍👍👍
Tidak ada solusi dari tokopedia atas barang yg terlambat dikirim (melewati waktu perkiraan barang tib).,2,2025-03-24 19:48:54,negative,solusi tokopedia barang yg terlambat dikirim melewati perkiraan barang tib
"belanja apapun ada semua dan jadi lebih mudah dengan bamyak pilihan, sukses tokopedia",5,2025-03-24 19:33:37,positive,belanja apapun mudah bamyak pilihan suks tokopedia
"Tokopedia sekarang pelayanan semakin buruk. Saya komplain pesan dan ditolak serta difitnah dan ditipu oleh penjual hingga ke fase mediasi. Sudah saya kirim bukti fitnah dan penipuan penjual. Tetapi malah respon CS sangat tidak niat. Awalnya sehari baru dibalas sama CSnya, kedua masih sama aja, kemudian setelah sampai pada putusan bahwa jika penjual tidakmengirimkan bukti packing dalam 1 hari barang akan direturn, setelah 5 hari penjual tidak merespon diikuti CS yang tidak memberi respon apapun",1,2025-03-24 19:15:20,negative,tokopedia pelayanan buruk komplain pesan ditolak difitnah ditipu penjual fase mediasi kirim bukti fitnah penipuan penjual respon cs niat sehari dibala csnya aja putusan penjual tidakmengirimkan bukti pack barang direturn penjual merespon diikuti cs respon apapun
